candidate_id,rank,score,reasoning
CAND_0088025,26,0.8942,"Staff Machine Learning Engineer with 8.6yr exp (Jaipur, Rajasthan, India); hands-on with Pinecone, QLoRA, LLMs; evidence of production ML deployment; actively looking; GitHub score 75. Good overall fit."
CAND_0005649,27,0.8933,"Senior Data Scientist with 7.4yr exp (Delhi, Delhi, India); hands-on with Fine-tuning LLMs, QLoRA, Semantic Search; evidence of production ML deployment; actively looking; GitHub score 81. Good overall fit."
CAND_0006418,28,0.8920,"Machine Learning Engineer with 5.7yr exp (Gurgaon, Haryana, India); hands-on with Semantic Search, Embeddings, Weaviate; evidence of production ML deployment; actively looking; GitHub score 60. Concern: last active 65d ago."
CAND_0010257,29,0.8915,"Senior Data Scientist with 6.5yr exp (Noida, Uttar Pradesh, India); hands-on with OpenSearch, Qdrant, pgvector; evidence of production ML deployment; actively looking; GitHub score 46. Concern: long notice period (120d)."
CAND_0093547,30,0.8911,"Senior Machine Learning Engineer with 2.9yr exp (Coimbatore, Tamil Nadu, India); hands-on with LLMs, RAG, QLoRA; evidence of production ML deployment; GitHub score 60. Good overall fit."
CAND_0010685,31,0.8888,"6.7yr NLP Engineer; hands-on with Information Retrieval, Elasticsearch, RAG; evidence of production ML deployment; actively looking; notice 30d. Concerns: last active 80d ago."
CAND_0045250,32,0.8849,"6.6yr Applied ML Engineer; hands-on with Sentence Transformers, LoRA, Embeddings; evidence of production ML deployment; notice 15d. Moderate fit — included for breadth."
CAND_0041611,33,0.8837,"6.4yr Staff Machine Learning Engineer; hands-on with Qdrant, NLP, Weaviate; evidence of production ML deployment; notice 30d. Concerns: last active 183d ago; low recruiter response rate (7%)."
CAND_0081846,34,0.8805,"6.7yr Lead AI Engineer; hands-on with Information Retrieval, pgvector, Elasticsearch; evidence of production ML deployment; actively looking; notice 30d. Moderate fit — included for breadth."
CAND_0099401,35,0.8759,"7.7yr NLP Engineer; hands-on with Embeddings, Qdrant, Information Retrieval; evidence of production ML deployment; active on platform recently. Moderate fit — included for breadth."
CAND_0079387,36,0.8750,"6.9yr AI Engineer; hands-on with Sentence Transformers, Vector Search, OpenSearch; evidence of production ML deployment; actively looking; GitHub score 64; notice 30d. Moderate fit — included for breadth."
CAND_0081053,37,0.8750,"5.4yr NLP Engineer; hands-on with LoRA, QLoRA, Qdrant; evidence of production ML deployment; actively looking; GitHub score 78. Concerns: last active 65d ago."
CAND_0083879,38,0.8734,"7.1yr Machine Learning Engineer; hands-on with Fine-tuning LLMs, Hugging Face Transformers, Sentence Transformers; evidence of production ML deployment; actively looking; notice 30d. Moderate fit — included for breadth."
CAND_0068811,39,0.8733,"8.0yr Applied ML Engineer; hands-on with Vector Search, Qdrant, Embeddings; evidence of production ML deployment; actively looking; notice 30d. Moderate fit — included for breadth."
CAND_0015528,40,0.8712,"7.4yr Applied ML Engineer; hands-on with Weaviate, pgvector, Information Retrieval; evidence of production ML deployment; GitHub score 51; notice 30d. Moderate fit — included for breadth."
CAND_0079284,41,0.8696,"4.9yr Machine Learning Engineer; hands-on with QLoRA, Qdrant, Fine-tuning LLMs; evidence of production ML deployment; notice 30d. Moderate fit — included for breadth."
CAND_0091909,42,0.8655,"6.9yr Machine Learning Engineer; hands-on with LLMs, Pinecone, QLoRA; evidence of production ML deployment; actively looking; GitHub score 50. Concerns: last active 78d ago."
CAND_0096142,43,0.8627,"5.0yr Applied ML Engineer; hands-on with LoRA, Weaviate, Pinecone; evidence of production ML deployment; actively looking; GitHub score 80. Concerns: long notice period (120d)."
CAND_0061339,44,0.8563,"4.2yr Search Engineer; hands-on with Information Retrieval, Vector Search, OpenSearch; evidence of production ML deployment; actively looking; GitHub score 86. Moderate fit — included for breadth."
CAND_0058688,45,0.8484,"6.7yr AI Engineer; hands-on with Embeddings, Information Retrieval, QLoRA; evidence of production ML deployment; actively looking; notice 15d. Concerns: last active 68d ago."
CAND_0075574,46,0.8480,"5.7yr Machine Learning Engineer; hands-on with Hugging Face Transformers, pgvector, Weaviate; actively looking. Moderate fit — included for breadth."
CAND_0032515,47,0.8429,"5.1yr Machine Learning Engineer; hands-on with Vector Search, QLoRA, Fine-tuning LLMs; evidence of production ML deployment; GitHub score 67. Concerns: based in USA, relocation unclear."
CAND_0030953,48,0.8416,"7.8yr Search Engineer; hands-on with Qdrant, Hugging Face Transformers, pgvector; evidence of production ML deployment. Moderate fit — included for breadth."
CAND_0087630,49,0.8413,"7.2yr AI Engineer; hands-on with Elasticsearch, pgvector, NLP; notice 30d. Concerns: last active 80d ago."
CAND_0022812,50,0.8391,"4.5yr Applied ML Engineer; hands-on with Weaviate, Pinecone, LoRA; evidence of production ML deployment. Concerns: last active 77d ago."
CAND_0058575,51,0.8390,"5.8yr AI Engineer; hands-on with Pinecone, Hugging Face Transformers, Sentence Transformers; evidence of production ML deployment; actively looking. Moderate fit — included for breadth."
CAND_0042029,52,0.8387,"6.5yr Senior Data Scientist; hands-on with NLP, RAG, Elasticsearch; GitHub score 79. Moderate fit — included for breadth."
CAND_0078002,53,0.8366,"6.3yr Machine Learning Engineer; hands-on with pgvector, NLP, Hugging Face Transformers; evidence of production ML deployment; actively looking; GitHub score 51. Moderate fit — included for breadth."
CAND_0064270,54,0.8365,"4.2yr Applied ML Engineer; hands-on with Sentence Transformers, Embeddings, Hugging Face Transformers; evidence of production ML deployment. Concerns: last active 76d ago."
CAND_0027691,55,0.8353,"6.5yr NLP Engineer; hands-on with LoRA, Weaviate, Embeddings; actively looking; GitHub score 58; notice 15d. Concerns: last active 65d ago."
CAND_0051003,56,0.8345,"4.0yr Senior Software Engineer (ML); hands-on with QLoRA, Embeddings, LoRA; evidence of production ML deployment; actively looking; GitHub score 61. Concerns: last active 64d ago."
CAND_0039383,57,0.8343,"7.1yr Applied ML Engineer; hands-on with FAISS, Hugging Face Transformers, QLoRA; actively looking; GitHub score 86. Concerns: last active 77d ago."
CAND_0064326,58,0.8343,"7.6yr Search Engineer; hands-on with Semantic Search, Weaviate, RAG; actively looking; GitHub score 61. Moderate fit — included for breadth."
CAND_0066376,59,0.8335,"5.7yr Applied ML Engineer; hands-on with LoRA, LLMs, Fine-tuning LLMs; actively looking. Moderate fit — included for breadth."
CAND_0047327,60,0.8319,"5.0yr Junior ML Engineer; hands-on with OpenSearch, QLoRA, Qdrant; evidence of production ML deployment. Moderate fit — included for breadth."
CAND_0044222,61,0.8310,AI Engineer (7.7yr); some relevant skills but limited production IR/ML evidence — placed at tail of shortlist.
CAND_0098846,62,0.8310,AI Engineer (7.6yr); some relevant skills but limited production IR/ML evidence — placed at tail of shortlist.
CAND_0044883,63,0.8284,AI Engineer (6.3yr); some relevant skills but limited production IR/ML evidence — placed at tail of shortlist.
CAND_0009837,64,0.8274,Senior Data Scientist (4.3yr); adjacent skills. Concerns limit ranking: last active 65d ago.
CAND_0095528,65,0.8274,Senior Data Scientist (5.3yr); some relevant skills but limited production IR/ML evidence — placed at tail of shortlist.
CAND_0009024,66,0.8267,Search Engineer (5.2yr); some relevant skills but limited production IR/ML evidence — placed at tail of shortlist.
CAND_0052827,67,0.8267,Data Scientist (5.9yr); adjacent skills. Concerns limit ranking: long notice period (120d); last active 72d ago.
CAND_0011432,68,0.8262,Senior Data Scientist (7.6yr); adjacent skills. Concerns limit ranking: last active 80d ago.
CAND_0042506,69,0.8248,Search Engineer (4.2yr); some relevant skills but limited production IR/ML evidence — placed at tail of shortlist.
CAND_0054123,70,0.8248,Applied ML Engineer (4.7yr); some relevant skills but limited production IR/ML evidence — placed at tail of shortlist.
CAND_0027801,71,0.8230,NLP Engineer (7.4yr); adjacent skills. Concerns limit ranking: long notice period (120d).
CAND_0049896,72,0.8228,Search Engineer (7.3yr); some relevant skills but limited production IR/ML evidence — placed at tail of shortlist.
CAND_0092255,73,0.8225,ML Engineer (5.2yr); some relevant skills but limited production IR/ML evidence — placed at tail of shortlist.
CAND_0001610,74,0.8220,Machine Learning Engineer (3.0yr); some relevant skills but limited production IR/ML evidence — placed at tail of shortlist.
CAND_0060054,75,0.8219,AI Engineer (6.4yr); adjacent skills. Concerns limit ranking: last active 79d ago.
CAND_0050876,76,0.8215,Applied ML Engineer (6.0yr); some relevant skills but limited production IR/ML evidence — placed at tail of shortlist.
CAND_0015057,77,0.8207,ML Engineer (4.6yr); some relevant skills but limited production IR/ML evidence — placed at tail of shortlist.
CAND_0037944,78,0.8205,Senior Data Scientist (4.9yr); adjacent skills. Concerns limit ranking: last active 74d ago.
CAND_0075439,79,0.8205,Machine Learning Engineer (4.3yr); some relevant skills but limited production IR/ML evidence — placed at tail of shortlist.
CAND_0081852,80,0.8205,Senior Data Scientist (5.9yr); some relevant skills but limited production IR/ML evidence — placed at tail of shortlist.
CAND_0070202,81,0.8190,Machine Learning Engineer (5.1yr); some relevant skills but limited production IR/ML evidence — placed at tail of shortlist.
CAND_0013613,82,0.8184,"Machine Learning Engineer (4.7yr); adjacent skills. Concerns limit ranking: last active 73d ago; based in Singapore, relocation unclear."
CAND_0009691,83,0.8173,Applied ML Engineer (6.2yr); adjacent skills. Concerns limit ranking: long notice period (120d).
CAND_0052682,84,0.8173,NLP Engineer (6.6yr); adjacent skills. Concerns limit ranking: last active 68d ago.
CAND_0065195,85,0.8173,Search Engineer (5.1yr); some relevant skills but limited production IR/ML evidence — placed at tail of shortlist.
CAND_0074735,86,0.8173,Applied ML Engineer (5.5yr); adjacent skills. Concerns limit ranking: last active 68d ago.
CAND_0043228,87,0.8163,Applied ML Engineer (6.8yr); some relevant skills but limited production IR/ML evidence — placed at tail of shortlist.
CAND_0016163,88,0.8161,Applied ML Engineer (6.7yr); adjacent skills. Concerns limit ranking: long notice period (120d).
CAND_0030348,89,0.8160,Machine Learning Engineer (4.5yr); adjacent skills. Concerns limit ranking: last active 66d ago.
CAND_0075249,90,0.8148,Applied ML Engineer (6.2yr); some relevant skills but limited production IR/ML evidence — placed at tail of shortlist.
CAND_0056881,91,0.8147,Machine Learning Engineer (4.5yr); some relevant skills but limited production IR/ML evidence — placed at tail of shortlist.
CAND_0067041,92,0.8134,Data Scientist (6.9yr); adjacent skills. Concerns limit ranking: long notice period (120d); last active 79d ago.
CAND_0015065,93,0.8125,AI Research Engineer (3.9yr); some relevant skills but limited production IR/ML evidence — placed at tail of shortlist.
CAND_0042100,94,0.8123,Machine Learning Engineer (7.3yr); adjacent skills. Concerns limit ranking: last active 73d ago.
CAND_0057563,95,0.8121,NLP Engineer (6.8yr); some relevant skills but limited production IR/ML evidence — placed at tail of shortlist.
CAND_0065878,96,0.8110,Senior Data Scientist (7.8yr); adjacent skills. Concerns limit ranking: last active 73d ago.
CAND_0028793,97,0.8104,Search Engineer (7.2yr); adjacent skills. Concerns limit ranking: long notice period (120d).
CAND_0031593,98,0.8087,Search Engineer (7.8yr); adjacent skills. Concerns limit ranking: last active 77d ago.
CAND_0015967,99,0.8074,Senior Software Engineer (ML) (5.4yr); some relevant skills but limited production IR/ML evidence — placed at tail of shortlist.
CAND_0092245,100,0.8069,Senior Data Scientist (4.1yr); adjacent skills. Concerns limit ranking: last active 68d ago.
